;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 23-Dec-20 7:23:30 PM
;----------------------------------------------

;Address Opcode 	ASM
0x0000	0x2A84      	GOTO       644
_Interrupt:
0x0004	0x00FF      	MOVWF      R15
0x0005	0x0E03      	SWAPF      STATUS, 0
0x0006	0x0183      	CLRF       STATUS
0x0007	0x00CB      	MOVWF      ___saveSTATUS
0x0008	0x080A      	MOVF       PCLATH, 0
0x0009	0x00CC      	MOVWF      ___savePCLATH
0x000A	0x018A      	CLRF       PCLATH
0x000B	0x0870      	MOVF       R0, 0
0x000C	0x00A2      	MOVWF      34
0x000D	0x0871      	MOVF       R1, 0
0x000E	0x00A1      	MOVWF      33
0x000F	0x0872      	MOVF       R2, 0
0x0010	0x00A0      	MOVWF      32
;ir.c,24 :: 		void Interrupt() {
;ir.c,25 :: 		if (RBIF_bit && (PORTB.F0 || !PORTB.F0)){         // PORTB change ISR
0x0011	0x1C0B      	BTFSS      RBIF_bit, BitPos(RBIF_bit+0)
0x0012	0x28FE      	GOTO       L_Interrupt4
0x0013	0x1806      	BTFSC      PORTB, 0
0x0014	0x2818      	GOTO       L__Interrupt44
0x0015	0x1C06      	BTFSS      PORTB, 0
0x0016	0x2818      	GOTO       L__Interrupt44
0x0017	0x28FE      	GOTO       L_Interrupt4
L__Interrupt44:
L__Interrupt43:
;ir.c,26 :: 		RBIF_bit = 0;
0x0018	0x100B      	BCF        RBIF_bit, BitPos(RBIF_bit+0)
;ir.c,27 :: 		if(rc5_state != 0){
0x0019	0x0848      	MOVF       _rc5_state, 0
0x001A	0x3A00      	XORLW      0
0x001B	0x1903      	BTFSC      STATUS, 2
0x001C	0x2826      	GOTO       L_Interrupt5
;ir.c,28 :: 		timer_value = (TMR1H << 8) + TMR1L;           // Store Timer1 value
0x001D	0x080F      	MOVF       TMR1H, 0
0x001E	0x00C6      	MOVWF      _timer_value+1
0x001F	0x01C5      	CLRF       _timer_value
0x0020	0x080E      	MOVF       TMR1L, 0
0x0021	0x07C5      	ADDWF      _timer_value, 1
0x0022	0x1803      	BTFSC      STATUS, 0
0x0023	0x0AC6      	INCF       _timer_value+1, 1
;ir.c,29 :: 		TMR1H = 0;                                    // Reset Timer1
0x0024	0x018F      	CLRF       TMR1H
;ir.c,30 :: 		TMR1L = 0;
0x0025	0x018E      	CLRF       TMR1L
;ir.c,31 :: 		}
L_Interrupt5:
;ir.c,32 :: 		switch(rc5_state){
0x0026	0x28EA      	GOTO       L_Interrupt6
;ir.c,33 :: 		case 0 :                                       // Start receiving IR data (initially we're at the beginning of mid1)
L_Interrupt8:
;ir.c,34 :: 		TMR1H = 0;                                   // Reset Timer1
0x0027	0x018F      	CLRF       TMR1H
;ir.c,35 :: 		TMR1L = 0;
0x0028	0x018E      	CLRF       TMR1L
;ir.c,36 :: 		TMR1ON_bit = 1;                              // Enable Timer1
0x0029	0x1410      	BSF        TMR1ON_bit, BitPos(TMR1ON_bit+0)
;ir.c,37 :: 		rc5_state = 1;                               // Next state: end of mid1
0x002A	0x3001      	MOVLW      1
0x002B	0x00C8      	MOVWF      _rc5_state
;ir.c,38 :: 		i = 0;
0x002C	0x01C4      	CLRF       _i
;ir.c,39 :: 		break;
0x002D	0x28FE      	GOTO       L_Interrupt7
;ir.c,40 :: 		case 1 :                                       // End of mid1 ==> check if we're at the beginning of start1 or mid0
L_Interrupt9:
;ir.c,41 :: 		if((timer_value > long_time) || (timer_value < short_time)){         // Invalid interval ==> stop decoding and reset
0x002E	0x0846      	MOVF       _timer_value+1, 0
0x002F	0x3C07      	SUBLW      7
0x0030	0x1D03      	BTFSS      STATUS, 2
0x0031	0x2834      	GOTO       L__Interrupt47
